id,CODE,KEY,EN Phrase Formula,EN,FR,
1,"""common.btn.logOut"": ""Logout"",",common.btn.logOut, Logout, Logout, Logout,
2,"""common.btn.new"": ""+ New"",",common.btn.new, + New, + New, + New,
3,"""common.btn.modify"": ""Edit"",",common.btn.modify, Edit, Edit, Edit,
4,"""common.btn.modify.lower"": ""edit"",",common.btn.modify.lower, edit, edit, edit,
5,"""common.btn.save"": ""Save"",",common.btn.save, Save, Save, Save,
6,"""common.btn.cancel"": ""Cancel"",",common.btn.cancel, Cancel, Cancel, Cancel,
7,"""common.btn.upload"": ""Upload"",",common.btn.upload, Upload, Upload, Upload,
8,"""common.btn.add.field"": ""Add field"",",common.btn.add.field, Add field, Add field, Add field,
9,"""common.btn.duplicate"": ""Duplicate"",",common.btn.duplicate, Duplicate, Duplicate, Duplicate,
10,"""common.title.create"": ""Create"",",common.title.create, Create, Create, Create,
11,"""common.title.delete"": ""Delete"",",common.title.delete, Delete, Delete, Delete,
12,"""common.title.view"": ""View"",",common.title.view, View, View, View,
13,"""common.copyright"": ""Created by EVOHOM"",",common.copyright, Created by EVOHOM, Created by EVOHOM, Created by EVOHOM,
14,"""common.validation.required"": ""Field is required"",",common.validation.required, Field is required, Field is required, Field is required,
15,"""common.label.source"": ""Source"",",common.label.source, Source, Source, Source,
16,"""common.label.target"": ""Target"",",common.label.target, Target, Target, Target,
17,"""common.error.internalServerError"": ""System internal error!"",",common.error.internalServerError, System internal error!, System internal error!, System internal error!,
18,"""common.delete.confirm.message"": ""Are you sure to delete this item?"",",common.delete.confirm.message, Are you sure to delete this item?, Are you sure to delete this item?, Are you sure to delete this item?,
19,"""common.confirm.btn.yes"": ""Yes"",",common.confirm.btn.yes, Yes, Yes, Yes,
20,"""common.confirm.btn.cancel"": ""No"",",common.confirm.btn.cancel, No, No, No,
21,"""common.goods.placeholder"": ""Select"",",common.goods.placeholder, Select, Select, Select,
22,"""common.modal.confirm"": ""Confirm"",",common.modal.confirm, Confirm, Confirm, Confirm,
23,"""common.modal.confirm.ok"": ""Ok"",",common.modal.confirm.ok, Ok, Ok, Ok,
24,"""common.modal.confirm.cancel"": ""Cancel"",",common.modal.confirm.cancel, Cancel, Cancel, Cancel,
25,"""common.filters.isActive"": ""Active"",",common.filters.isActive, Active, Active, Active,
26,"""common.filters.nonActive"": ""Inactive"",",common.filters.nonActive, Inactive, Inactive, Inactive,
27,"""common.return.btn"": ""Return"",",common.return.btn, Return, Return, Return,
28,"""common.no.data"": ""No data"",",common.no.data, No data, No data, No data,
29,"""login.page.btn"": ""Login"",",login.page.btn, Login, Login, Login,
30,"""login.page.username.placeholder"": ""Username"",",login.page.username.placeholder, Username, Username, Username,
31,"""login.page.username.validation"": ""Please input your username!"",",login.page.username.validation, Please input your username!, Please input your username!, Please input your username!,
32,"""login.page.password.placeholder"": ""Password"",",login.page.password.placeholder, Password, Password, Password,
33,"""login.page.password.validation"": ""Please input your password!"",",login.page.password.validation, Please input your password!, Please input your password!, Please input your password!,
34,"""login.page.notification.warning"": ""Warning"",",login.page.notification.warning, Warning, Warning, Warning,
35,"""login.page.notification.serverError"": ""Internal server error!"",",login.page.notification.serverError, Internal server error!, Internal server error!, Internal server error!,
36,"""login.page.notification.tokenExpired"": ""Token expired!"",",login.page.notification.tokenExpired, Token expired!, Token expired!, Token expired!,
